blister [blɪ́stər],水膨れ，火膨れ [= vesicle on the skin]
prognosis [prɑ(ː)gnóʊsəs],（病気の）予後（⇔diagnosis 診断）
penchant [péntʃənt],（〜の）傾向，（〜の）好み〈for〉
propensity [prəpénsəti],"（〜の）（しばしば好ましくない）傾向，（〜の）性癖 [= tendency, inclination]〈for〉"
savor [séɪvər],"（〜を）思わせるもの〈of〉，風味，嗜好 [= taste, relish]"
banter [bǽntər],"冗談，ひやかし [= joke, badinage]"
jest [dʒest],冗談 [= funny remarks]
animosity [ænɪmɑ́(ː)səti],"憎悪 [= hatred]，敵意 [= enmity, hostility, antagonism]"
aversion [əvə́ːrʒən],（〜への）嫌悪感 [= repulsion]〈to〉
acrimony [ǽkrəmòʊni],とげとげしさ，辛辣さ [= asperity]
affront [əfrʌ́nt],"（公然の）侮辱 [= insult, scorn, slight]"
misgiving [mɪsgɪ́vɪŋ],（将来の結果に関しての）不安 [= uneasiness]〈about〉，疑念 [= doubt]
scruple [skrúːpl],罪の意識，良心の呵責 [= twinge of conscience]
grievance [gríːvəns],不満，苦情 [= complaint]
eulogy [júːlədʒi],追悼 [= memorial address]，賛辞 [= speech of praise]
flattery [flǽtəri],お世辞，おべっか
homage [hɑ́(ː)mɪdʒ],"敬意 [= respect, reverence]"
defiance [dɪfáɪəns],反抗，挑戦 [= challenge]
deportation [dì:pɔːrtéɪʃən],"国外追放 [= banishment, expulsion]"
decadence [dékədəns],堕落 [= corruption]
derision [dɪríʒən],嘲笑 [= mockery]
disguise [dɪsgáɪz],変装 [= camouflage]
conjecture [kəndʒéktʃər],"憶測，推測 [= guess, surmise, inference]"
fallacy [fǽləsi],誤った推論 [= misconception]
decree [dɪkríː],法令，布告 [= edict]
ordinance [ɔ́ːrdənəns],条例 [= regulation]，法令 [= statute]
precept [príːsept],命令，行動上の指針，格言 [= maxim]
elimination [ɪlìmɪnéɪʃən],"除去 [= removal, abolition, deletion]，予選"
exorcism [éksɔːrsìzm],悪魔払い
transgression [trænsgréʃən],違反 [= offense]
infringement [ɪnfrɪ́ndʒmənt],侵害 [= violation]
disparity [dɪspǽrəti],差異 [= difference]，不均衡 [= incongruity]
dissension [dɪsénʃən],意見の衝突 [= disagreement]
discrepancy [dɪskrépənsi],"不一致 [= disagreement, difference, inconsistency]"
dearth [dəːrθ],不足，欠乏 [= scarcity]
deluge [déljuːdʒ],大洪水 [= great flood]，豪雨
conflagration [kɑ̀(ː)nfləgréɪʃən],大火 [= fire]
spillage [spɪ́lɪdʒ],流出 [= leakage]
outage [áʊtɪdʒ],停止，停電
hazard [hǽzərd],"危険 [= risk, peril, danger]"
jeopardy [dʒépərdi],危機 [= peril]
pandemonium [pæ̀ndəmóʊniəm],混沌 [= chaos]，修羅場
predicament [prɪdɪ́kəmənt],苦境 [= dilemma]
mayhem [méɪhèm],大混乱 [= chaos]
plight [plaɪt],"苦境 [= hardship, predicament]"
hindrance [hɪ́ndrəns],（〜の）障害物，（〜の）邪魔になるもの〈to〉
impediment [ɪmpédɪmənt],"（〜の）障害 [= obstacle, obstruction]〈to〉"
impasse [ɪ́mpæs],"行き詰まり [= deadlock, cul-de-sac]"
stalemate [stéɪlmèɪt],膠着状態 [= deadlock]
blunder [blʌ́ndər],重大なミス [= mistake]
